premium,is_available,category,title,rent_price_per_day,image_url,created_at,price,user_id,location,description,condition,quantity,updated_at,for_sale
FALSE,TRUE,Furniture,Modern Office Desk With Arch,366,https://pictures-kenya.jijistatic.com/73435104_MzAwLTIyNS0zMDliZGNlOWMw.webp,03/05/2025 22:49,11000,22,"Nairobi, Unknown",1200mm modern desk designed with an arch to allow. maximum legs stretch while working,Brand New,5,03/05/2025 22:49,0
FALSE,TRUE,Furniture,Cream Dressing Table,0,https://pictures-kenya.jijistatic.com/73276875_MzAwLTMwMC1mODNkOWFiYmFi.webp,03/05/2025 22:49,22500,9,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Dressing Table (Lights on Glass),0,https://pictures-kenya.jijistatic.com/74610364_MzAwLTM3NS1jMTUzMzA3MGRh.webp,03/05/2025 22:49,18500,20,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Vinity Dressing Table,683,https://pictures-kenya.jijistatic.com/73242320_MzAwLTMwMC0wNjVlYzEyNjMz.webp,03/05/2025 22:49,20500,3,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,2,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Quality Chair With Metal Tubing Legs,0,https://pictures-kenya.jijistatic.com/69751096_MzAwLTM1OS0wYmYyZTQ0MjBl.webp,03/05/2025 22:49,1500,23,"Nairobi, Unknown","Jungle green plastic chairs with metallic legs available, 
Has sturdy legs and strong backrest",Brand New,2,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Durable Office Chairs,333,https://pictures-kenya.jijistatic.com/25760959_MzAwLTQwMC03NTEwMDg3NjMzLTg.webp,03/05/2025 22:49,10000,8,"Nairobi, Unknown",Longterm durable office chairs. Adjustable and reclinable to multiple levels. We also offer delivery...,Brand New,4,03/05/2025 22:49,0
FALSE,FALSE,Furniture,Premier Plastic Chairs With Armrest,0,https://pictures-kenya.jijistatic.com/56594779_MzAwLTQzOC01ZDY0MzFkN2Ri.webp,03/05/2025 22:49,650,13,"Nairobi, Unknown",Quality and affordable plastic chairs with armrest,Brand New,3,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Bistro Velvet Chair,326,https://pictures-kenya.jijistatic.com/54237145_MzAwLTM3NS03ZjVjYTk2Zjc4.webp,03/05/2025 22:49,9800,14,"Nairobi, Unknown","Also available in colour blue and in emerald green. 
Please visit our showroom along Mombasa road...",Brand New,4,03/05/2025 22:49,0
TRUE,TRUE,Furniture,"Green Plastic Chairs, Heavy Duty Plastic Chairs",33,https://pictures-kenya.jijistatic.com/73101143_MzAwLTU5NC1hMmE4ZDJkZGIy.webp,03/05/2025 22:49,1000,13,"Nairobi, Unknown","Green plastic chairs, heavy duty plastic chairs",Brand New,5,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Round Foldable Plastic Table Plus 4 Plastic Chairs Set,0,https://pictures-kenya.jijistatic.com/74261134_MzAwLTQ3OC02ZjIyNDBiYTQ1.webp,03/05/2025 22:49,9500,8,"Nairobi, Unknown",Round foldable plastic table plus 4 plastic chairs set.,Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Colorful Plastic Chairs With Metal Tubing Legs And Arms,0,https://pictures-kenya.jijistatic.com/74021668_MzAwLTUzMy0xYTYxZTk5ZDVh.webp,03/05/2025 22:49,1500,12,"Nairobi, Unknown",Colorful plastic chairs with metal tubing legs and arms.,Brand New,2,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Purple Plastic Chairs With Arms,0,https://pictures-kenya.jijistatic.com/56455901_MzAwLTM1OS1jNjdjYjU0M2Vj.webp,03/05/2025 22:49,1000,12,"Nairobi, Unknown",Strong adix plastic chair,Brand New,3,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Plastic Chairs Blue,0,https://pictures-kenya.jijistatic.com/74023741_MzAwLTY2Ni1lZWU3NDMwMzA5.webp,03/05/2025 22:49,700,19,"Nairobi, Unknown",Plastic chairs blue,Brand New,2,03/05/2025 22:49,1
FALSE,TRUE,Furniture,Pedicure Seat for Sale Foot Spa,0,https://pictures-kenya.jijistatic.com/75340048_MzAwLTQwMC05Njg5NzhmMjQ2.webp,03/05/2025 22:49,12000,7,"Nairobi, Unknown","Special Offer for both pedicure seat+ceramic footspa+ottoman for 30k(3 available )
Black chair...",Used,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Gaming Chair/ Office Chair,0,https://pictures-kenya.jijistatic.com/74074890_MzAwLTY1MC0wNzIyMTMzZWMy.webp,03/05/2025 22:49,25000,9,"Nairobi, Unknown",Gaming chair/ office chair... now in stock.,Brand New,1,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Gray Plastic Chairs,50,https://pictures-kenya.jijistatic.com/69333790_MzAwLTYwMS1iYTkyODk5ZDY2.webp,03/05/2025 22:49,1500,19,"Nairobi, Unknown",Heavy duty plastic chairs with armrest and strong legs available,Brand New,3,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Good Quality Plastic Chair,23,https://pictures-kenya.jijistatic.com/66862400_MzAwLTQwMC0yNTlkYTMyYWNiLTE.webp,03/05/2025 22:49,700,19,"Nairobi, Unknown",Strong and good quality plastic chair,Brand New,3,03/05/2025 22:49,0
TRUE,TRUE,Furniture,"Plastic Chairs, Green Blue Easy Chair",0,https://pictures-kenya.jijistatic.com/74204216_MzAwLTY2Ni1lMzBmM2ZmYWVh.webp,03/05/2025 22:49,1100,18,"Nairobi, Unknown","Plastic chairs, green blue easy chair",Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,6 Seater Recliner Sofa,6166,https://pictures-kenya.jijistatic.com/43802789_MzAwLTQwMC02YjU2YzRhZWZk.webp,03/05/2025 22:49,185000,14,"Nairobi, Unknown","Recliner sofas with cup holders. 
Different colours to choose from",Brand New,4,03/05/2025 22:49,0
FALSE,FALSE,Furniture,1. Ex-Uk Hair Washing Station – Heated for Client Comfort,983,https://pictures-kenya.jijistatic.com/75332464_MzAwLTQwMC1kNTY4MmNlMjMw.webp,03/05/2025 22:49,29500,14,"Nairobi, Unknown",Give your clients a spa-like wash every time. This ex-UK salon sink includes a reliable built-in...,Brand New,3,03/05/2025 22:49,0
TRUE,TRUE,Furniture,1pc Blue Plastic Chair 1pc Orange Plastic Chair at Each,50,https://pictures-kenya.jijistatic.com/74019015_MzAwLTEzNS00MmM3YWRkNGM5.webp,03/05/2025 22:49,1500,21,"Nairobi, Unknown",1pc blue plastic chair & 1pc orange plastic chair each.,Brand New,2,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Skyplast Plastic Chairs,31,https://pictures-kenya.jijistatic.com/59159764_MzAwLTQxNy1hM2Y2NDI1ZTUwLTE.webp,03/05/2025 22:49,950,21,"Nairobi, Unknown",Heavy duty plastics chairs,Brand New,2,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Bucket Eames Armchair,250,https://pictures-kenya.jijistatic.com/65610532_MzAwLTM3MC1lYzI4YTJhN2Ew.webp,03/05/2025 22:49,7500,7,"Nairobi, Unknown","The Bucket Eames Armchair offers iconic mid-century modern style and ergonomic comfort, perfect for...",Brand New,4,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Dark Blue Plastic Chair With Metal Tubing Legs,0,https://pictures-kenya.jijistatic.com/74198035_MzAwLTY2Ni04MDI3YWEzMTFj.webp,03/05/2025 22:49,1500,10,"Nairobi, Unknown",Dark blue plastic chair with metal tubing legs.,Brand New,1,03/05/2025 22:49,1
TRUE,TRUE,Camera,YAMAHA UR 44 Audio Interface,1466,https://pictures-kenya.jijistatic.com/8213422_fb-img-1587034511299_2_300x225.webp,03/05/2025 22:49,44000,5,"Nairobi, Unknown",The perfect balance between connectivity and portability: the ur44 is a powerful audio/midi...,Brand New,3,03/05/2025 22:49,0
TRUE,FALSE,Camera,Advanced Irig Interface Converter Adapter for Musicians,0,https://pictures-kenya.jijistatic.com/25021195_MzAwLTMwNi0zOTY3ODM1YzRhLTU.webp,03/05/2025 22:49,1000,19,"Nairobi, Unknown",The irig is simply a patch cable with a built-in pre-amp that connects an electric guitar or bass to...,Used,3,03/05/2025 22:49,1
TRUE,FALSE,Camera,Display Port to HDMI Cable 1.5 M,0,https://pictures-kenya.jijistatic.com/68889626_MzAwLTMwMC02ZjNhYmUwNDEyLTE.webp,03/05/2025 22:49,1499,3,"Nairobi, Unknown","Product details
As PCs and laptops are increasingly transitioning from convertional analog type...",Brand New,1,03/05/2025 22:49,1
TRUE,TRUE,Camera,Sayona 4.1SHT_1148 Sounds Star System,433,https://pictures-kenya.jijistatic.com/50727997_MzAwLTMwMC0zOTQwZjdhNTAw.webp,03/05/2025 22:49,12999,15,"Nairobi, Unknown","Remote led display compatible with dvd, cd, mpeg-4, mp3 & wma aux/digital fm ready usb support...",Brand New,2,03/05/2025 22:49,0
TRUE,TRUE,Camera,"Video HDMI to USB Type_c 1080P via DSLR, Camera",0,https://pictures-kenya.jijistatic.com/72095809_MzAwLTI3Ni1iN2E0MDhmMTAyLTE.webp,03/05/2025 22:49,2500,15,"Nairobi, Unknown","Video hdmi 4k to usb type_c 1080p via dslr, camera★ the device is based on high speed usb type_c...",Brand New,1,03/05/2025 22:49,1
FALSE,TRUE,Camera,Soundking Woofer FB1003H 10 Inch 500 Watts,0,https://pictures-kenya.jijistatic.com/69256203_MzAwLTIyNy05OWIzOTk4OWRm.webp,03/05/2025 22:49,8500,2,"Nairobi, Unknown","Type: Woofer
Magnet Structure: Ferrite
Voice Coil Diameter: 63.5mm (2.5 inches)
Impedance: 8...",Brand New,4,03/05/2025 22:49,1
TRUE,TRUE,Camera,Ground Loop Interference Eliminator Crystal Sound,0,https://pictures-kenya.jijistatic.com/67015705_MzAwLTY2Ny1iMjI1NTY4NTIw.webp,03/05/2025 22:49,1500,5,"Nairobi, Unknown","A ground loop isolator is an essential device for eliminating unwanted humming, ground loop...",Brand New,3,03/05/2025 22:49,1
TRUE,FALSE,Camera,Virtual 7.1 Channel Audio Adapter USB Sound Card,16,https://pictures-kenya.jijistatic.com/49825620_MzAwLTMwMC1kNzFjZmVlMDkxLTE.webp,03/05/2025 22:49,500,8,"Nairobi, Unknown",Virtual 7.1 Channel Audio Adapter USB Sound CardFeatures:It extends your stereo speaker or earphone...,Used,5,03/05/2025 22:49,0
TRUE,TRUE,Camera,Skyworth 50'' Qled Uhd Google TV Frameless Smart TV,0,https://pictures-kenya.jijistatic.com/58094156_MzAwLTQxNC1kMDNjOWNlMmIy.webp,03/05/2025 22:49,42000,22,"Nairobi, Unknown","Brand new skyworth 50sue9500 50'' qled uhd 4k google tv frameless led tv black in colour
feel the...",50inches,2,03/05/2025 22:49,1
TRUE,FALSE,Camera,Scarlett 2i2 Third Generation,0,https://pictures-kenya.jijistatic.com/48815703_MzAwLTQwMC0xZjI1N2VlZDI4.webp,03/05/2025 22:49,32000,9,"Nairobi, Unknown","Professional audio interface , 2i2 scarlet available at affordable price best for studio recording",Brand New,3,03/05/2025 22:49,1
TRUE,FALSE,Camera,Power Tech HD to VGA Converter With Audio - FY1322M,0,https://pictures-kenya.jijistatic.com/70134601_MzAwLTMwMC04ZWJiMGE0NDE2LTE.webp,03/05/2025 22:49,1999,22,"Nairobi, Unknown","Power Tech HD to VGA Converter with Audio - FY1322MDetails
HDMI TO VGA Converter with Audio HD VIDEO...",Brand New,1,03/05/2025 22:49,1
TRUE,TRUE,Camera,Focusrite Scarlett 3rd Gen USB Audio Interface,0,https://pictures-kenya.jijistatic.com/62555707_MzAwLTMwMC1jMDM2Y2YwNzQx.webp,03/05/2025 22:49,42000,21,"Nairobi, Unknown","Includes: Scarlett Solo USB audio interface, condenser microphone, headphones, 10’ XLR mic cable,...",Brand New,5,03/05/2025 22:49,1
TRUE,TRUE,Camera,Crest-audio Power Amplifier CA12,2316,https://pictures-kenya.jijistatic.com/33303943_MzAwLTQ1MC1hNTMzYjZmZmI2LTE.webp,03/05/2025 22:49,69500,9,"Nairobi, Unknown",The CA series provides tremendous value in proven amplifier technology. CAs form the backbone of...,Brand New,2,03/05/2025 22:49,0
TRUE,FALSE,Camera,TCL 43′′ Uhd Hdr10+ Google Tv Frameless V6b New Model,0,https://pictures-kenya.jijistatic.com/73877116_MzAwLTM3Ny00OGZiMDc0Y2U5.webp,03/05/2025 22:49,29999,18,"Nairobi, Unknown","Brand New TCL 43′′ 4K UHD HDR10+ Google TV Frameless V6B New Model.
Features:
4k UHD Tv
Dynamic...",43inches,5,03/05/2025 22:49,1
TRUE,TRUE,Camera,Redmi Watch 5 Lite Brand New Watch,216,https://pictures-kenya.jijistatic.com/74330715_MzAwLTE3OC1hOGY3MWUzYWUy.webp,03/05/2025 22:49,6499,5,"Nairobi, Unknown","With Android 8.0 and above, iOS 12.0 and above
1.96"" AMOLED ultra-clear large display with rich,...",Brand New,2,03/05/2025 22:49,0
TRUE,TRUE,Camera,15cm USB 3.1 Type-C to Mini-Displayport Cable Adapter Output,0,https://pictures-kenya.jijistatic.com/55432751_MzAwLTUzMy04YmI2MGI4Y2UzLTE.webp,03/05/2025 22:49,1999,12,"Nairobi, Unknown","15cm usb 3.1 type-c to mini-displayport cable adapter
output audio & video to mini-displayport with...",Brand New,4,03/05/2025 22:49,1
TRUE,FALSE,Camera,Briton Powered Speaker 1600w,766,https://pictures-kenya.jijistatic.com/40114466_MzAwLTQ1MC00YzVhNjc5OWQxLTI.webp,03/05/2025 22:49,23000,18,"Nairobi, Unknown","Are used in a range of settings, including in sound reinforcement systems (used at live music...",Brand New,4,03/05/2025 22:49,0
FALSE,FALSE,Camera,Sony Super Legato Linear F-500,500,https://pictures-kenya.jijistatic.com/75087106_MzAwLTExNi0yZDBmZTA0YjQ4.webp,03/05/2025 22:49,15000,9,"Nairobi, Unknown",Nice and powerful can play any speaker size,Used,3,03/05/2025 22:49,0
FALSE,TRUE,Camera,Behringer Voice Studio,0,https://pictures-kenya.jijistatic.com/8832040__300x225.webp,03/05/2025 22:49,25000,16,"Nairobi, Unknown",Complet recording bundle with studio condenser mic tube preamplfier with 16 preamp voicings and...,Brand New,1,03/05/2025 22:49,1
FALSE,TRUE,Camera,"""Dimmable USB Ring Light Frsmartphones WTH Remote Control",0,https://pictures-kenya.jijistatic.com/65601728_MzAwLTMwMC1lZDE3NDY5YTYz.webp,03/05/2025 22:49,1750,7,"Nairobi, Unknown","This 12"" LED ring light is a portable studio photo light with dimmable video functions for...",Used,3,03/05/2025 22:49,1
FALSE,TRUE,Furniture,Leather Padded Counter Stools,0,https://pictures-kenya.jijistatic.com/71236054_MzAwLTI5NC05NWEyYjhlMzE4.webp,03/05/2025 22:49,8700,22,"Nairobi, Unknown","Leather Padded counter stool
Adjustable height 
High quality stools",Brand New,5,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Imported Counter Chairs,0,https://pictures-kenya.jijistatic.com/41909010_MzAwLTUzNC1hNDVjMTI5YWU2.webp,03/05/2025 22:49,7499,3,"Nairobi, Unknown","payment is on delivery
 deliveries are done countrywide within 24 hours
 strong and durable...",Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Home Chairs: Adjustable Barstool With Leather Cushion,316,https://pictures-kenya.jijistatic.com/73869999_MzAwLTMwMC1mOGRmMmFiYzMy.webp,03/05/2025 22:49,9500,12,"Nairobi, Unknown","The Adjustable Barstool with Leather Cushion offers both comfort and style for any modern kitchen,...",Brand New,3,03/05/2025 22:49,0
FALSE,FALSE,Furniture,Home Chair : Leather Adjustable Bar-Stool,316,https://pictures-kenya.jijistatic.com/75111336_MzAwLTMwMC04ZTRiYWQ5MzQ0.webp,03/05/2025 22:49,9500,7,"Nairobi, Unknown",The Leather Adjustable Bar-Stool is a stylish and functional seating option perfect for modern...,Brand New,5,03/05/2025 22:49,0
FALSE,TRUE,Furniture,Studio Stools Wesso Pq-54,216,https://pictures-kenya.jijistatic.com/74294975_MzAwLTQwMC1jZThjMGM1N2Y1.webp,03/05/2025 22:49,6500,20,"Nairobi, Unknown","072*********.
Brand new imported counter stools, barstools, kitchen stools, studio stools or balcony...",Brand New,5,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Counter Stools /Barstool,200,https://pictures-kenya.jijistatic.com/73262385_MzAwLTI1MC00MWUyMzVmM2Zk.webp,03/05/2025 22:49,6000,9,"Nairobi, Unknown",Strong and durable products Quality is guaranteed payment is done on delivery,Brand New,5,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Counter Stools With Footrest,216,https://pictures-kenya.jijistatic.com/70552116_MzAwLTM3MS0wN2E0ODA1ZjNj.webp,03/05/2025 22:49,6500,1,"Nairobi, Unknown","This kitchen/bar stool offers the perfect combination of comfort and modern design, allowing you to...",Brand New,4,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Kitchen Counter High Stools or Bar Stools,0,https://pictures-kenya.jijistatic.com/52561596_MzAwLTQwMC1kYjBmNjBlMGUx.webp,03/05/2025 22:49,3050,7,"Nairobi, Unknown",I sell different types of high stools in different types and colours at pocket friendly prices.,Brand New,4,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Bar Stools: Adjustable Bar Stool,316,https://pictures-kenya.jijistatic.com/75159371_MzAwLTMwMC0xNjJiODQ1YWUw.webp,03/05/2025 22:49,9500,23,"Nairobi, Unknown","A bar stool is a tall, versatile seating option commonly used in kitchens, home bars, restaurants,...",Brand New,4,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Barstools: Height Adjustable Bucket Pub Stool,0,https://pictures-kenya.jijistatic.com/73374846_MzAwLTMwMC1kNmVmOTYzOTUy.webp,03/05/2025 22:49,9500,17,"Nairobi, Unknown",A Height Adjustable Bucket Pub Stool is a versatile and stylish seating option commonly used in...,Brand New,4,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Counter Stool,183,https://pictures-kenya.jijistatic.com/49915712_MzAwLTM4NC02OWEzNjkyYTU4LTE.webp,03/05/2025 22:49,5500,8,"Nairobi, Unknown","Imported counter stools, height is adjustable strong and durable. Payment is done after delivery.",Brand New,2,03/05/2025 22:49,0
FALSE,TRUE,Furniture,Reception Desk: Bar Counter Whiter 160 Reception Table,0,https://pictures-kenya.jijistatic.com/75105726_MzAwLTI5NC0wZGM1ZWFjZDU0.webp,03/05/2025 22:49,38500,19,"Nairobi, Unknown",This modern cash counter offers multiple designs suitable for different environments such as...,Brand New,5,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Counter Stools,0,https://pictures-kenya.jijistatic.com/61868573_MzAwLTQwMC1kMGY2ZDQ4NDk0.webp,03/05/2025 22:49,20000,18,"Nairobi, Unknown",Brand New counter stools we do deliver within Nairobi area payment is done after receiving it,Brand New,2,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Kitchen Stools /Counter Chair,0,https://pictures-kenya.jijistatic.com/70962956_MzAwLTEzNS1iYjFjYTRjZWQ2.webp,03/05/2025 22:49,8500,9,"Nairobi, Unknown",Strong and durable and payments are on delivery within Nairobi area and special arrangements...,Brand New,2,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Counter Chair,0,https://pictures-kenya.jijistatic.com/72322535_MzAwLTQwMC1hY2E5NWIxMWM4.webp,03/05/2025 22:49,7500,23,"Nairobi, Unknown","Adjustable heights, 
Strong and durable, 
Payments on delivery",Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,High Counter Stools,0,https://pictures-kenya.jijistatic.com/69633774_MzAwLTM3OC1iOThhZmM4YWZl.webp,03/05/2025 22:49,7500,23,"Nairobi, Unknown","This rotating kitchen/bar stool offers the perfect combination of comfort and modern design,...",Brand New,2,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Counter Stool,0,https://pictures-kenya.jijistatic.com/67155258_MzAwLTQwMC02ZTk3Mzc0ODkx.webp,03/05/2025 22:49,7500,11,"Nairobi, Unknown","We do delivery within Nairobi areas, payment is done after delivery.",Brand New,5,03/05/2025 22:49,1
TRUE,FALSE,Furniture,Modern Cashier/Kitchen/Counter Chair,333,https://pictures-kenya.jijistatic.com/69459828_MzAwLTMyOC0wOTk4MWFiMmU0.webp,03/05/2025 22:49,9999,11,"Nairobi, Unknown","Strong and durable products 
 Quality is guaranteed
 We import, assemble then deliver UpTo your...",Brand New,4,03/05/2025 22:49,0
FALSE,FALSE,Furniture,Barstools: Modern Kitchen/Pub Counter Stool,0,https://pictures-kenya.jijistatic.com/75063412_MzAwLTMwMC02ZDUzZmViYzk4.webp,03/05/2025 22:49,9500,9,"Nairobi, Unknown",Add a touch of contemporary flair to your space with the Modern Kitchen/Pub Counter Stool. Featuring...,Brand New,2,03/05/2025 22:49,1
TRUE,FALSE,Furniture,High Counter Stools / Kitchen Stools,200,https://pictures-kenya.jijistatic.com/72332915_MzAwLTM3OC1jOTllNGNkMmU0.webp,03/05/2025 22:49,6000,11,"Nairobi, Unknown","Strong, 
Adjustable heights, 
Payments on delivery",Brand New,3,03/05/2025 22:49,0
TRUE,TRUE,Camera,White Marble Square Tables,0,https://pictures-kenya.jijistatic.com/74784252_MzAwLTIyNS04NWU1ZGFkNzVl.webp,03/05/2025 22:49,4500,17,"Nairobi, Unknown",High quality marble white table,Brand New,3,03/05/2025 22:49,1
TRUE,TRUE,Camera,Restaurants and Bar Chairs,66,https://pictures-kenya.jijistatic.com/69313192_MzAwLTQwMC01MDNlMDdjMGZk.webp,03/05/2025 22:49,2000,22,"Nairobi, Unknown",High quality restaurants and bar tables,Brand New,1,03/05/2025 22:49,0
TRUE,TRUE,Camera,Round White Marble Table,150,https://pictures-kenya.jijistatic.com/74445538_MzAwLTQwMC1hMDhjMTM5YWI4.webp,03/05/2025 22:49,4500,21,"Nairobi, Unknown",High quality restaurants table,Brand New,5,03/05/2025 22:49,0
FALSE,TRUE,Camera,Home Chair : Leather Adjustable Bar-Stool,316,https://pictures-kenya.jijistatic.com/75111336_MzAwLTMwMC04ZTRiYWQ5MzQ0.webp,03/05/2025 22:49,9500,15,"Nairobi, Unknown",The Leather Adjustable Bar-Stool is a stylish and functional seating option perfect for modern...,Brand New,1,03/05/2025 22:49,0
