premium,is_available,category,title,rent_price_per_day,image_url,created_at,price,user_id,description,condition,quantity,updated_at,for_sale
TRUE,TRUE,Furniture,Vinity Dressing Table (White Sliding - Mirror),0,downloaded_images\74292871_MzAwLTQwMC0zMDNlZTdjNGM5.webp,2025-06-12T00:06:56.099285,10500,15,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,2025-06-12T00:06:56.099285,1
TRUE,TRUE,Furniture,Vinity Dressing Table,883,downloaded_images\73283231_MzAwLTMwMC0yMzllNTE3YzIz.webp,2025-06-12T00:06:56.305063,26500,15,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,2025-06-12T00:06:56.305063,0
FALSE,FALSE,Furniture,Executive Dressing Table,1218,downloaded_images\73277091_MzAwLTM1My1iYWMyZWFhMDRl.webp,2025-06-12T00:06:56.514607,36550,22,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,2025-06-12T00:06:56.514607,0
FALSE,FALSE,Furniture,Dressing Table,0,downloaded_images\74897530_MzAwLTMwMC03OGIzMTMwMDEw.webp,2025-06-12T00:06:56.695867,13500,21,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,1,2025-06-12T00:06:56.695867,1
FALSE,TRUE,Furniture,Vanities Dressing Table,0,downloaded_images\73276940_MzAwLTI5NS0xZjAzYzcxNGM4.webp,2025-06-12T00:06:56.869298,19500,14,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,1,2025-06-12T00:06:56.869298,1
FALSE,TRUE,Furniture,Modern Office Desk With Arch,366,downloaded_images\73435104_MzAwLTIyNS0zMDliZGNlOWMw.webp,2025-06-12T00:06:57.057304,11000,22,1200mm modern desk designed with an arch to allow. maximum legs stretch while working,Brand New,5,2025-06-12T00:06:57.057304,0
FALSE,TRUE,Furniture,Cream Dressing Table,0,downloaded_images\73276875_MzAwLTMwMC1mODNkOWFiYmFi.webp,2025-06-12T00:06:57.237731,22500,9,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,2025-06-12T00:06:57.237731,1
FALSE,FALSE,Furniture,Dressing Table (Lights on Glass),0,downloaded_images\74610364_MzAwLTM3NS1jMTUzMzA3MGRh.webp,2025-06-12T00:06:57.425094,18500,20,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,5,2025-06-12T00:06:57.425094,1
TRUE,FALSE,Furniture,Vinity Dressing Table,683,downloaded_images\73242320_MzAwLTMwMC0wNjVlYzEyNjMz.webp,2025-06-12T00:06:57.598714,20500,3,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,2,2025-06-12T00:06:57.598714,0
TRUE,FALSE,Furniture,Quality Chair With Metal Tubing Legs,0,downloaded_images\69751096_MzAwLTM1OS0wYmYyZTQ0MjBl.webp,2025-06-12T00:06:57.792664,1500,23,"Jungle green plastic chairs with metallic legs available, 
Has sturdy legs and strong backrest",Brand New,2,2025-06-12T00:06:57.792664,1
TRUE,TRUE,Furniture,Durable Office Chairs,333,downloaded_images\25760959_MzAwLTQwMC03NTEwMDg3NjMzLTg.webp,2025-06-12T00:06:58.210001,10000,8,Longterm durable office chairs. Adjustable and reclinable to multiple levels. We also offer delivery...,Brand New,4,2025-06-12T00:06:58.210001,0
FALSE,FALSE,Furniture,Premier Plastic Chairs With Armrest,0,downloaded_images\56594779_MzAwLTQzOC01ZDY0MzFkN2Ri.webp,2025-06-12T00:06:58.273691,650,13,Quality and affordable plastic chairs with armrest,Brand New,3,2025-06-12T00:06:58.273691,1
TRUE,FALSE,Furniture,Bistro Velvet Chair,326,downloaded_images\54237145_MzAwLTM3NS03ZjVjYTk2Zjc4.webp,2025-06-12T00:06:58.351703,9800,14,"Also available in colour blue and in emerald green. 
Please visit our showroom along Mombasa road...",Brand New,4,2025-06-12T00:06:58.351703,0
TRUE,TRUE,Furniture,"Green Plastic Chairs, Heavy Duty Plastic Chairs",33,downloaded_images\73101143_MzAwLTU5NC1hMmE4ZDJkZGIy.webp,2025-06-12T00:06:58.536268,1000,13,"Green plastic chairs, heavy duty plastic chairs",Brand New,5,2025-06-12T00:06:58.536268,0
TRUE,TRUE,Furniture,Round Foldable Plastic Table Plus 4 Plastic Chairs Set,0,downloaded_images\74261134_MzAwLTQ3OC02ZjIyNDBiYTQ1.webp,2025-06-12T00:06:58.609869,9500,8,Round foldable plastic table plus 4 plastic chairs set.,Brand New,5,2025-06-12T00:06:58.609869,1
TRUE,FALSE,Furniture,Colorful Plastic Chairs With Metal Tubing Legs And Arms,0,downloaded_images\74021668_MzAwLTUzMy0xYTYxZTk5ZDVh.webp,2025-06-12T00:06:58.820879,1500,12,Colorful plastic chairs with metal tubing legs and arms.,Brand New,2,2025-06-12T00:06:58.820879,1
FALSE,FALSE,Furniture,Purple Plastic Chairs With Arms,0,downloaded_images\56455901_MzAwLTM1OS1jNjdjYjU0M2Vj.webp,2025-06-12T00:06:59.005908,1000,12,Strong adix plastic chair,Brand New,3,2025-06-12T00:06:59.005908,1
TRUE,FALSE,Furniture,Plastic Chairs Blue,0,downloaded_images\74023741_MzAwLTY2Ni1lZWU3NDMwMzA5.webp,2025-06-12T00:06:59.439367,700,19,Plastic chairs blue,Brand New,2,2025-06-12T00:06:59.439367,1
FALSE,TRUE,Furniture,Pedicure Seat for Sale Foot Spa,0,downloaded_images\75340048_MzAwLTQwMC05Njg5NzhmMjQ2.webp,2025-06-12T00:06:59.637535,12000,7,"Special Offer for both pedicure seat+ceramic footspa+ottoman for 30k(3 available )
Black chair...",Used,5,2025-06-12T00:06:59.637535,1
TRUE,FALSE,Furniture,Gaming Chair/ Office Chair,0,downloaded_images\74074890_MzAwLTY1MC0wNzIyMTMzZWMy.webp,2025-06-12T00:06:59.703125,25000,9,Gaming chair/ office chair... now in stock.,Brand New,1,2025-06-12T00:06:59.703125,1
TRUE,TRUE,Furniture,Gray Plastic Chairs,50,downloaded_images\69333790_MzAwLTYwMS1iYTkyODk5ZDY2.webp,2025-06-12T00:06:59.914910,1500,19,Heavy duty plastic chairs with armrest and strong legs available,Brand New,3,2025-06-12T00:06:59.914910,0
TRUE,FALSE,Furniture,Good Quality Plastic Chair,23,downloaded_images\66862400_MzAwLTQwMC0yNTlkYTMyYWNiLTE.webp,2025-06-12T00:07:00.094964,700,19,Strong and good quality plastic chair,Brand New,3,2025-06-12T00:07:00.095948,0
TRUE,TRUE,Furniture,"Plastic Chairs, Green Blue Easy Chair",0,downloaded_images\74204216_MzAwLTY2Ni1lMzBmM2ZmYWVh.webp,2025-06-12T00:07:00.272362,1100,18,"Plastic chairs, green blue easy chair",Brand New,5,2025-06-12T00:07:00.273364,1
TRUE,FALSE,Furniture,6 Seater Recliner Sofa,6166,downloaded_images\43802789_MzAwLTQwMC02YjU2YzRhZWZk.webp,2025-06-12T00:07:00.350351,185000,14,"Recliner sofas with cup holders. 
Different colours to choose from",Brand New,4,2025-06-12T00:07:00.350351,0
FALSE,FALSE,Furniture,1. Ex-Uk Hair Washing Station – Heated for Client Comfort,983,downloaded_images\75332464_MzAwLTQwMC1kNTY4MmNlMjMw.webp,2025-06-12T00:07:00.536653,29500,14,Give your clients a spa-like wash every time. This ex-UK salon sink includes a reliable built-in...,Brand New,3,2025-06-12T00:07:00.536653,0
TRUE,TRUE,Furniture,1pc Blue Plastic Chair 1pc Orange Plastic Chair at Each,50,downloaded_images\74019015_MzAwLTEzNS00MmM3YWRkNGM5.webp,2025-06-12T00:07:00.720247,1500,21,1pc blue plastic chair & 1pc orange plastic chair each.,Brand New,2,2025-06-12T00:07:00.720247,0
TRUE,TRUE,Furniture,Skyplast Plastic Chairs,31,downloaded_images\59159764_MzAwLTQxNy1hM2Y2NDI1ZTUwLTE.webp,2025-06-12T00:07:00.795924,950,21,Heavy duty plastics chairs,Brand New,2,2025-06-12T00:07:00.795924,0
TRUE,FALSE,Furniture,Bucket Eames Armchair,250,downloaded_images\65610532_MzAwLTM3MC1lYzI4YTJhN2Ew.webp,2025-06-12T00:07:00.981994,7500,7,"The Bucket Eames Armchair offers iconic mid-century modern style and ergonomic comfort, perfect for...",Brand New,4,2025-06-12T00:07:00.981994,0
TRUE,FALSE,Furniture,Dark Blue Plastic Chair With Metal Tubing Legs,0,downloaded_images\74198035_MzAwLTY2Ni04MDI3YWEzMTFj.webp,2025-06-12T00:07:01.184410,1500,10,Dark blue plastic chair with metal tubing legs.,Brand New,1,2025-06-12T00:07:01.184410,1
TRUE,TRUE,Camera,YAMAHA UR 44 Audio Interface,1466,downloaded_images\8213422_fb-img-1587034511299_2_300x225.webp,2025-06-12T00:07:01.749842,44000,5,The perfect balance between connectivity and portability: the ur44 is a powerful audio/midi...,Brand New,3,2025-06-12T00:07:01.749842,0
TRUE,FALSE,Camera,Advanced Irig Interface Converter Adapter for Musicians,0,downloaded_images\25021195_MzAwLTMwNi0zOTY3ODM1YzRhLTU.webp,2025-06-12T00:07:01.822750,1000,19,The irig is simply a patch cable with a built-in pre-amp that connects an electric guitar or bass to...,Used,3,2025-06-12T00:07:01.822750,1
TRUE,FALSE,Camera,Display Port to HDMI Cable 1.5 M,0,downloaded_images\68889626_MzAwLTMwMC02ZjNhYmUwNDEyLTE.webp,2025-06-12T00:07:01.995525,1499,3,"Product details
As PCs and laptops are increasingly transitioning from convertional analog type...",Brand New,1,2025-06-12T00:07:01.995525,1
TRUE,TRUE,Camera,Sayona 4.1SHT_1148 Sounds Star System,433,downloaded_images\50727997_MzAwLTMwMC0zOTQwZjdhNTAw.webp,2025-06-12T00:07:02.052672,12999,15,"Remote led display compatible with dvd, cd, mpeg-4, mp3 & wma aux/digital fm ready usb support...",Brand New,2,2025-06-12T00:07:02.052672,0
TRUE,TRUE,Camera,"Video HDMI to USB Type_c 1080P via DSLR, Camera",0,downloaded_images\72095809_MzAwLTI3Ni1iN2E0MDhmMTAyLTE.webp,2025-06-12T00:07:02.240949,2500,15,"Video hdmi 4k to usb type_c 1080p via dslr, camera★ the device is based on high speed usb type_c...",Brand New,1,2025-06-12T00:07:02.240949,1
FALSE,TRUE,Camera,Soundking Woofer FB1003H 10 Inch 500 Watts,0,downloaded_images\69256203_MzAwLTIyNy05OWIzOTk4OWRm.webp,2025-06-12T00:07:02.438204,8500,2,"Type: Woofer
Magnet Structure: Ferrite
Voice Coil Diameter: 63.5mm (2.5 inches)
Impedance: 8...",Brand New,4,2025-06-12T00:07:02.438204,1
TRUE,TRUE,Camera,Ground Loop Interference Eliminator Crystal Sound,0,downloaded_images\67015705_MzAwLTY2Ny1iMjI1NTY4NTIw.webp,2025-06-12T00:07:02.525462,1500,5,"A ground loop isolator is an essential device for eliminating unwanted humming, ground loop...",Brand New,3,2025-06-12T00:07:02.525462,1
TRUE,FALSE,Camera,Virtual 7.1 Channel Audio Adapter USB Sound Card,16,downloaded_images\49825620_MzAwLTMwMC1kNzFjZmVlMDkxLTE.webp,2025-06-12T00:07:02.716780,500,8,Virtual 7.1 Channel Audio Adapter USB Sound CardFeatures:It extends your stereo speaker or earphone...,Used,5,2025-06-12T00:07:02.716780,0
TRUE,TRUE,Camera,Skyworth 50'' Qled Uhd Google TV Frameless Smart TV,0,downloaded_images\58094156_MzAwLTQxNC1kMDNjOWNlMmIy.webp,2025-06-12T00:07:02.842026,42000,22,"Brand new skyworth 50sue9500 50'' qled uhd 4k google tv frameless led tv black in colour
feel the...",50inches,2,2025-06-12T00:07:02.842026,1
TRUE,FALSE,Camera,Scarlett 2i2 Third Generation,0,downloaded_images\48815703_MzAwLTQwMC0xZjI1N2VlZDI4.webp,2025-06-12T00:07:03.034772,32000,9,"Professional audio interface , 2i2 scarlet available at affordable price best for studio recording",Brand New,3,2025-06-12T00:07:03.034772,1
TRUE,FALSE,Camera,Power Tech HD to VGA Converter With Audio - FY1322M,0,downloaded_images\70134601_MzAwLTMwMC04ZWJiMGE0NDE2LTE.webp,2025-06-12T00:07:03.225493,1999,22,"Power Tech HD to VGA Converter with Audio - FY1322MDetails
HDMI TO VGA Converter with Audio HD VIDEO...",Brand New,1,2025-06-12T00:07:03.225493,1
TRUE,TRUE,Camera,Focusrite Scarlett 3rd Gen USB Audio Interface,0,downloaded_images\62555707_MzAwLTMwMC1jMDM2Y2YwNzQx.webp,2025-06-12T00:07:03.301271,42000,21,"Includes: Scarlett Solo USB audio interface, condenser microphone, headphones, 10’ XLR mic cable,...",Brand New,5,2025-06-12T00:07:03.301271,1
TRUE,TRUE,Camera,Crest-audio Power Amplifier CA12,2316,downloaded_images\33303943_MzAwLTQ1MC1hNTMzYjZmZmI2LTE.webp,2025-06-12T00:07:03.377812,69500,9,The CA series provides tremendous value in proven amplifier technology. CAs form the backbone of...,Brand New,2,2025-06-12T00:07:03.377812,0
TRUE,FALSE,Camera,TCL 43′′ Uhd Hdr10+ Google Tv Frameless V6b New Model,0,downloaded_images\73877116_MzAwLTM3Ny00OGZiMDc0Y2U5.webp,2025-06-12T00:07:03.575621,29999,18,"Brand New TCL 43′′ 4K UHD HDR10+ Google TV Frameless V6B New Model.
Features:
4k UHD Tv
Dynamic...",43inches,5,2025-06-12T00:07:03.575621,1
TRUE,TRUE,Camera,Redmi Watch 5 Lite Brand New Watch,216,downloaded_images\74330715_MzAwLTE3OC1hOGY3MWUzYWUy.webp,2025-06-12T00:07:03.637629,6499,5,"With Android 8.0 and above, iOS 12.0 and above
1.96"" AMOLED ultra-clear large display with rich,...",Brand New,2,2025-06-12T00:07:03.637629,0
TRUE,TRUE,Camera,15cm USB 3.1 Type-C to Mini-Displayport Cable Adapter Output,0,downloaded_images\55432751_MzAwLTUzMy04YmI2MGI4Y2UzLTE.webp,2025-06-12T00:07:03.810048,1999,12,"15cm usb 3.1 type-c to mini-displayport cable adapter
output audio & video to mini-displayport with...",Brand New,4,2025-06-12T00:07:03.811050,1
TRUE,FALSE,Camera,Briton Powered Speaker 1600w,766,downloaded_images\40114466_MzAwLTQ1MC00YzVhNjc5OWQxLTI.webp,2025-06-12T00:07:03.989583,23000,18,"Are used in a range of settings, including in sound reinforcement systems (used at live music...",Brand New,4,2025-06-12T00:07:03.989583,0
FALSE,FALSE,Camera,Sony Super Legato Linear F-500,500,downloaded_images\75087106_MzAwLTExNi0yZDBmZTA0YjQ4.webp,2025-06-12T00:07:04.164425,15000,9,Nice and powerful can play any speaker size,Used,3,2025-06-12T00:07:04.164425,0
FALSE,TRUE,Camera,Behringer Voice Studio,0,downloaded_images\8832040__300x225.webp,2025-06-12T00:07:04.343369,25000,16,Complet recording bundle with studio condenser mic tube preamplfier with 16 preamp voicings and...,Brand New,1,2025-06-12T00:07:04.343369,1
FALSE,TRUE,Camera,"""Dimmable USB Ring Light Frsmartphones WTH Remote Control",0,downloaded_images\65601728_MzAwLTMwMC1lZDE3NDY5YTYz.webp,2025-06-12T00:07:04.406947,1750,7,"This 12"" LED ring light is a portable studio photo light with dimmable video functions for...",Used,3,2025-06-12T00:07:04.406947,1
FALSE,TRUE,Furniture,Leather Padded Counter Stools,0,downloaded_images\71236054_MzAwLTI5NC05NWEyYjhlMzE4.webp,2025-06-12T00:07:04.600505,8700,22,"Leather Padded counter stool
Adjustable height 
High quality stools",Brand New,5,2025-06-12T00:07:04.600505,1
TRUE,TRUE,Furniture,Imported Counter Chairs,0,downloaded_images\41909010_MzAwLTUzNC1hNDVjMTI5YWU2.webp,2025-06-12T00:07:04.775314,7499,3,"payment is on delivery
 deliveries are done countrywide within 24 hours
 strong and durable...",Brand New,5,2025-06-12T00:07:04.775314,1
TRUE,FALSE,Furniture,Home Chairs: Adjustable Barstool With Leather Cushion,316,downloaded_images\73869999_MzAwLTMwMC1mOGRmMmFiYzMy.webp,2025-06-12T00:07:05.193736,9500,12,"The Adjustable Barstool with Leather Cushion offers both comfort and style for any modern kitchen,...",Brand New,3,2025-06-12T00:07:05.193736,0
FALSE,FALSE,Furniture,Home Chair : Leather Adjustable Bar-Stool,316,downloaded_images\75111336_MzAwLTMwMC04ZTRiYWQ5MzQ0.webp,2025-06-12T00:07:05.371740,9500,7,The Leather Adjustable Bar-Stool is a stylish and functional seating option perfect for modern...,Brand New,5,2025-06-12T00:07:05.371740,0
FALSE,TRUE,Furniture,Studio Stools Wesso Pq-54,216,downloaded_images\74294975_MzAwLTQwMC1jZThjMGM1N2Y1.webp,2025-06-12T00:07:05.579038,6500,20,"072*********.
Brand new imported counter stools, barstools, kitchen stools, studio stools or balcony...",Brand New,5,2025-06-12T00:07:05.579038,0
TRUE,TRUE,Furniture,Counter Stools /Barstool,200,downloaded_images\73262385_MzAwLTI1MC00MWUyMzVmM2Zk.webp,2025-06-12T00:07:05.780716,6000,9,Strong and durable products Quality is guaranteed payment is done on delivery,Brand New,5,2025-06-12T00:07:05.780716,0
TRUE,TRUE,Furniture,Counter Stools With Footrest,216,downloaded_images\70552116_MzAwLTM3MS0wN2E0ODA1ZjNj.webp,2025-06-12T00:07:05.986508,6500,1,"This kitchen/bar stool offers the perfect combination of comfort and modern design, allowing you to...",Brand New,4,2025-06-12T00:07:05.986508,0
TRUE,FALSE,Furniture,Kitchen Counter High Stools or Bar Stools,0,downloaded_images\52561596_MzAwLTQwMC1kYjBmNjBlMGUx.webp,2025-06-12T00:07:06.064342,3050,7,I sell different types of high stools in different types and colours at pocket friendly prices.,Brand New,4,2025-06-12T00:07:06.064342,1
FALSE,FALSE,Furniture,Bar Stools: Adjustable Bar Stool,316,downloaded_images\75159371_MzAwLTMwMC0xNjJiODQ1YWUw.webp,2025-06-12T00:07:06.189609,9500,23,"A bar stool is a tall, versatile seating option commonly used in kitchens, home bars, restaurants,...",Brand New,4,2025-06-12T00:07:06.189609,0
TRUE,TRUE,Furniture,Barstools: Height Adjustable Bucket Pub Stool,0,downloaded_images\73374846_MzAwLTMwMC1kNmVmOTYzOTUy.webp,2025-06-12T00:07:06.410809,9500,17,A Height Adjustable Bucket Pub Stool is a versatile and stylish seating option commonly used in...,Brand New,4,2025-06-12T00:07:06.411802,1
FALSE,FALSE,Furniture,Counter Stool,183,downloaded_images\49915712_MzAwLTM4NC02OWEzNjkyYTU4LTE.webp,2025-06-12T00:07:06.701595,5500,8,"Imported counter stools, height is adjustable strong and durable. Payment is done after delivery.",Brand New,2,2025-06-12T00:07:06.701595,0
FALSE,TRUE,Furniture,Reception Desk: Bar Counter Whiter 160 Reception Table,0,downloaded_images\75105726_MzAwLTI5NC0wZGM1ZWFjZDU0.webp,2025-06-12T00:07:07.164922,38500,19,This modern cash counter offers multiple designs suitable for different environments such as...,Brand New,5,2025-06-12T00:07:07.164922,1
TRUE,TRUE,Furniture,Counter Stools,0,downloaded_images\61868573_MzAwLTQwMC1kMGY2ZDQ4NDk0.webp,2025-06-12T00:07:07.494568,20000,18,Brand New counter stools we do deliver within Nairobi area payment is done after receiving it,Brand New,2,2025-06-12T00:07:07.494568,1
TRUE,TRUE,Furniture,Kitchen Stools /Counter Chair,0,downloaded_images\70962956_MzAwLTEzNS1iYjFjYTRjZWQ2.webp,2025-06-12T00:07:07.690849,8500,9,Strong and durable and payments are on delivery within Nairobi area and special arrangements...,Brand New,2,2025-06-12T00:07:07.690849,1
TRUE,TRUE,Furniture,Counter Chair,0,downloaded_images\72322535_MzAwLTQwMC1hY2E5NWIxMWM4.webp,2025-06-12T00:07:08.114865,7500,23,"Adjustable heights, 
Strong and durable, 
Payments on delivery",Brand New,5,2025-06-12T00:07:08.114865,1
TRUE,FALSE,Furniture,High Counter Stools,0,downloaded_images\69633774_MzAwLTM3OC1iOThhZmM4YWZl.webp,2025-06-12T00:07:08.575691,7500,23,"This rotating kitchen/bar stool offers the perfect combination of comfort and modern design,...",Brand New,2,2025-06-12T00:07:08.575691,1
FALSE,FALSE,Furniture,Counter Stool,0,downloaded_images\67155258_MzAwLTQwMC02ZTk3Mzc0ODkx.webp,2025-06-12T00:07:09.016469,7500,11,"We do delivery within Nairobi areas, payment is done after delivery.",Brand New,5,2025-06-12T00:07:09.016469,1
TRUE,FALSE,Furniture,Modern Cashier/Kitchen/Counter Chair,333,downloaded_images\69459828_MzAwLTMyOC0wOTk4MWFiMmU0.webp,2025-06-12T00:07:09.328236,9999,11,"Strong and durable products 
 Quality is guaranteed
 We import, assemble then deliver UpTo your...",Brand New,4,2025-06-12T00:07:09.328236,0
FALSE,FALSE,Furniture,Barstools: Modern Kitchen/Pub Counter Stool,0,downloaded_images\75063412_MzAwLTMwMC02ZDUzZmViYzk4.webp,2025-06-12T00:07:09.526301,9500,9,Add a touch of contemporary flair to your space with the Modern Kitchen/Pub Counter Stool. Featuring...,Brand New,2,2025-06-12T00:07:09.526301,1
TRUE,FALSE,Furniture,High Counter Stools / Kitchen Stools,200,downloaded_images\72332915_MzAwLTM3OC1jOTllNGNkMmU0.webp,2025-06-12T00:07:09.835765,6000,11,"Strong, 
Adjustable heights, 
Payments on delivery",Brand New,3,2025-06-12T00:07:09.835765,0
TRUE,TRUE,Camera,White Marble Square Tables,0,downloaded_images\74784252_MzAwLTIyNS04NWU1ZGFkNzVl.webp,2025-06-12T00:07:10.176180,4500,17,High quality marble white table,Brand New,3,2025-06-12T00:07:10.176180,1
TRUE,TRUE,Camera,Restaurants and Bar Chairs,66,downloaded_images\69313192_MzAwLTQwMC01MDNlMDdjMGZk.webp,2025-06-12T00:07:10.370771,2000,22,High quality restaurants and bar tables,Brand New,1,2025-06-12T00:07:10.370771,0
TRUE,TRUE,Camera,Round White Marble Table,150,downloaded_images\74445538_MzAwLTQwMC1hMDhjMTM5YWI4.webp,2025-06-12T00:07:10.565789,4500,21,High quality restaurants table,Brand New,5,2025-06-12T00:07:10.565789,0
FALSE,TRUE,Camera,Home Chair : Leather Adjustable Bar-Stool,316,downloaded_images\75111336_MzAwLTMwMC04ZTRiYWQ5MzQ0.webp,2025-06-12T00:07:10.760571,9500,15,The Leather Adjustable Bar-Stool is a stylish and functional seating option perfect for modern...,Brand New,1,2025-06-12T00:07:10.760571,0
TRUE,TRUE,Camera,Coastal Cottage Media Cabinet,0,downloaded_images\62351728_MzAwLTMwMC0yNDkwYzZjYzQ4LTE.webp,2025-06-12T00:07:11.080700,10500,2,"Bring the serene beauty of the coast into your home with our Coastal Cottage Media Cabinet, artfully...",Brand New,3,2025-06-12T00:07:11.080700,1
TRUE,TRUE,Camera,"Bar Set of Drum Table and High Stools, Blue and Black",0,downloaded_images\67213599_MzAwLTQwMC00NDJmODQ0MzE4.webp,2025-06-12T00:07:11.491120,15500,7,Available bar sets of drum tables and chairs,Bulk prices,4,2025-06-12T00:07:11.491120,1
FALSE,FALSE,Camera,Hotel Tables,1500,downloaded_images\75305679_MzAwLTMwMC04NzU1MzI0N2Q4.webp,2025-06-12T00:07:11.677897,45000,8,Well made for your customers,Brand New,4,2025-06-12T00:07:11.677897,0
TRUE,FALSE,Camera,Brand New Round Tables Branded,0,downloaded_images\66643228_MzAwLTQwMS03YmFjZGIyZGU5.webp,2025-06-12T00:07:11.873619,4500,8,Brand new round tables bar n restaraunt,Brand New,1,2025-06-12T00:07:11.873619,1
FALSE,TRUE,Camera,Bar Stools: Adjustable Bar Stool,316,downloaded_images\75159371_MzAwLTMwMC0xNjJiODQ1YWUw.webp,2025-06-12T00:07:12.003237,9500,19,"A bar stool is a tall, versatile seating option commonly used in kitchens, home bars, restaurants,...",Brand New,1,2025-06-12T00:07:12.003237,0
FALSE,FALSE,Camera,High Quality Clubs Coaches,0,downloaded_images\53801918_MzAwLTMwMC1hN2VjNzM3MDQ2.webp,2025-06-12T00:07:12.543189,11500,5,"We deals with any type of bar chairs,tables and repair services in good friendly price,,welcome to...",Brand New,2,2025-06-12T00:07:12.543189,1
TRUE,FALSE,Camera,"Hotel or Bar Table Stands, Powder Coated Gold",166,downloaded_images\69977432_MzAwLTQwMC1mZTk2MDRlMmJj.webp,2025-06-12T00:07:12.769114,5000,2,"I sell unique, classy and stylish powder coated restaurant table stands, good quality at affordable...",Bulk prices,1,2025-06-12T00:07:12.769114,0
FALSE,TRUE,Camera,Reception Desk: Bar Counter Whiter 160 Reception Table,1283,downloaded_images\75105726_MzAwLTI5NC0wZGM1ZWFjZDU0.webp,2025-06-12T00:07:12.827081,38500,13,This modern cash counter offers multiple designs suitable for different environments such as...,Brand New,3,2025-06-12T00:07:12.827081,0
